Character,Dialogue,Context,fr,it,de,es,ru,ptbr,zht,zhs,JP,ko,tr,
,"Tabby, I'm begging you. That snail...She's pure evil.",,"Tabby, je t'en supplie. Cet escargot... c'est le mal incarné.","Tabby, ti supplico. Quella lumaca... è crudele.","Tabby, ich flehe dich an. Diese Schnecke ... Sie ist das pure Böse.","Tabby, te lo pido por favor. Ese caracol... es pura maldad.","Табби, умоляю тебя. Эта улитка... Она — воплощение зла.","Tabby, eu imploro. Aquela caracol... Ela é a pura maldade.",塔比，我求妳了。那隻蝸牛...她真的邪惡透了。,"Tabby, yalvariyorum. O salyangoz... O saf kotuluk.",タビー、もうやめて。あのカタツムリ…根っからの悪だよ。,"태비, 제발 부탁이야. 저 달팽이는...순수한 악이야.","Tabby, yalvariyorum. O salyangoz... O saf kotuluk.",
,"Uh, Tabby...Can we have a conversation...in private?",,"Euh, Tabby... je peux te parler... en privé ?","Uh, Tabby... Possiamo parlare un attimo... in privato?","Äh, Tabby ... Können wir reden ... unter vier Augen?","Eh, Tabby... ¿Podemos hablar... en privado?","Слушай, Табби... Хочу кое-что тебе сказать... наедине.",Tabby... Podemos conversar... em particular?,呃，塔比…我們能...私下談談嗎？,"Sey, Tabby... Ozel olarak konusabilir miyiz?",ねえ、タビー…ちょっと二人きりで話せない？,"어, 태비...잠깐 둘이서...이야기 좀 할까?","Sey, Tabby... Ozel olarak konusabilir miyiz?",
,"Really, Tabby? I thought we were friends... I guess I was wrong.",,"Tabby, t'es sérieuse ? Je croyais qu'on était amis... J'avais tort, apparemment.","Sul serio, Tabby? Pensavo fossimo amici... A quanto pare mi sbagliavo.","Wirklich, Tabby? Ich dachte, wir wären Freunde ... Ich schätze, ich habe mich geirrt.","¿En serio, Tabby? Creía que éramos amigos... Supongo que me equivoqué.","Ах так, Табби? Я-то думал, мы друзья... Видимо, ошибался.","Sério, Tabby? Eu pensei que éramos amigos... Acho que me enganei.",真的嗎，塔比？我以為我們是朋友…看來是我錯了。,"Gercekten mi, Tabby? Arkadas oldugumuzu sanmistim... Yanilmisim.",タビー…本当に？ぼくら、友だちだと思ってたのに…勘違いだったのかな。,"진심이야, 태비? 우린 친구라고 생각했는데... 내가 잘못 생각했네.","Gercekten mi, Tabby? Arkadas oldugumuzu sanmistim... Yanilmisim.",
,"Uh, what's going on?",,"Euh, qu'est-ce qui se passe ?","Uh, che succede?","Äh, was ist los?","Eh, ¿qué pasa?","Хм, что происходит?","Hum, o que está acontecendo?",呃，發生什麼事了？,"Sey, neler oluyor?",ねえ、どうしたの？,"어, 무슨 일이야?","Sey, neler oluyor?",
,"Hey, Tabby. Is it time for another adventure?",,"Salut, Tabby. C'est reparti pour une nouvelle aventure ?","Ehi, Tabby, è l'ora di un'altra avventura?","Hey, Tabby. Ist es Zeit für ein neues Abenteuer?","Eh, Tabby. ¿Es hora de vivir nuevas aventuras?","Эй, Табби. Нам пора в очередные приключения?","Ei, Tabby. Está na hora de mais uma aventura?",嘿，塔比，準備好開始新的冒險了嗎？,"Hey, Tabby. Yeni bir maceranin zamani mi?",ねえタビー、また冒険を始めるの？,"이봐, 태비. 다시 모험을 떠날 준비 됐어?","Hey, Tabby. Yeni bir maceranin zamani mi?",
,"Hey, Tabby. Ready to get going?",,"Salut, Tabby. Tu es prête à partir ?","Ehi, Tabby. Sei pronta a partire?","Hey, Tabby. Bereit, loszulegen?","Eh, Tabby. ¿Estás lista?","Эй, Табби. Готова идти?","Ei, Tabby. Pronta para irmos?",嘿，塔比。準備好出發了嗎？,"Hey, Tabby. Gitmeye hazir misin?",ねえタビー、出発の準備はできた？,"이봐, 태비. 이제 갈까?","Hey, Tabby. Gitmeye hazir misin?",
,"I know we can get through this, Tabby. Let's go for a ride!",,"Je sais qu'on peut surmonter ça, Tabby. Partons à l'aventure !","So che possiamo farcela, Tabby. Andiamo!","Ich weiß, dass wir das schaffen können, Tabby. Lass uns eine Runde drehen!","Sé que podemos con esto, Tabby. ¡Vamos a dar una vuelta!","Я уверен, что мы справимся, Табби. Пора прокатиться!","Eu sei que vamos superar isso, Tabby. Vamos dar uma volta!",我知道我們能撐過去，塔比。咱們出去兜風吧！,"Bunu atlatabilecegimizi biliyorum, Tabby. Hadi gezintiye cikalim!",ぼくらならできるさ、タビー。一緒に行こう！,"우린 해낼 수 있어, 태비. 한 번 타볼까!","Bunu atlatabilecegimizi biliyorum, Tabby. Hadi gezintiye cikalim!",
,"With you by my side, we can handle anything! Ready?",,"Avec toi à mes côtés, on peut tout affronter ! Prête ?","Con te al mio fianco, possiamo superare ogni cosa! Pronta?",Mit dir an meiner Seite können wir alles schaffen! Bist du bereit?,"Si estás a mi lado, podemos con cualquier cosa. ¿Lista?",Вместе мы справимся с чем угодно! Готова?,"Com você ao meu lado, podemos lidar com qualquer coisa! Preparada?",只要有妳在身邊，我們就能撐過一切！準備好了嗎？,Sen yanimdayken her seyin ustesinden geliriz! Hazir misin?,二人一緒なら、何でもできるさ！準備はいい？,너와 함께라면 뭐든지 해낼 수 있어! 준비 됐어?,Sen yanimdayken her seyin ustesinden geliriz! Hazir misin?,
,Let's do this!,,C'est parti !,Andiamo!,Legen wir los!,¡Vamos!,Вперед!,Vamos nessa!,來吧，準備上了！,Hadi yapalim!,出発進行！,해 보자!,Hadi yapalim!,
,Uses,,Utilisations,Utilizzi,Verwendungen,Usos,Использования,Usos,用途,Kullanimlar,使用回数,사용,Kullanimlar,
,Yeah!,,Allez !,Sì!,Ja!,¡Sííí!,Да!,Isso aí!,好啊！,Evet!,うん！,예이!,Evet!,
,Nah...,,Non...,No...,Nee ...,No...,Нет...,Não...,不了…,Yok ya...,やめておく…,이런...,Yok ya...,
,"Oh, she's still here...You two have fun.",,"Oh, elle est toujours là... Amusez-vous bien.","Oh, è ancora qui... Divertitevi voi due.","Oh, sie ist immer noch da ... Viel Spaß euch beiden.","Vaya, sigue ahí... Pues que lo paséis bien.","Ох, она все еще здесь... Желаю вам двоим повеселиться.","Ah, ela ainda está aí... Boa diversão para vocês duas.",喔，她還在這裡…妳們兩個玩得開心。,"Aa, hâlâ burada... Siz eglenmenize bakin.",はぁ、まだそこにいるんだ…どうぞ、二人で楽しんで。,"아, 아직 거기 있었구나...좋은 시간 보내.","Aa, hâlâ burada... Siz eglenmenize bakin.",
,"I don't feel like hanging out right now, Tabby. Sorry.",,"J'ai pas envie d'être avec toi, là, Tabby. Désolé.","Mi spiace, Tabby, ma non ho voglia di parlare ora come ora.","Mir ist gerade nicht danach, rumzuhängen, Tabby. Tut mir leid.","Ahora no estoy de humor, Tabby. Lo siento.","Мне сейчас не хочется общаться, Табби. Извини.","Não estou com vontade de sair agora, Tabby. Desculpe.",塔比，我現在不太想跟妳一起待著。抱歉。,"Su an takilmak istemiyorum, Tabby. Kusura bakma.",今は一緒に出かける気分じゃないんだ。ごめんね。,"지금은 어울려 줄 기분이 아니야, 태비. 미안.","Su an takilmak istemiyorum, Tabby. Kusura bakma.",
,This network...They are pure evil. I'm glad we were,,Cette chaîne... Ils sont le mal absolu. Je suis contente qu'on ait,Questo network... Sono il male puro. Sono contenta che noi,"Dieser Sender... Sie sind das pure Böse. Ich bin froh, dass wir",Esta cadena... Son pura maldad. Me alegro de que,"Эта телесеть... Они — чистое зло. Я рада, что мы",Essa emissora... Eles são pura maldade. Ainda bem que nós,這個電視網…他們根本就是純粹的邪惡。還好我們,Bu ag... Saf kotuluk. Iyi ki...,この放送局…純粋な悪そのものだよ。私たちが,이 방송국... 완전 악 그 자체야. 우리가,Bu ag... Saf kotuluk. Iyi ki...,
,It's so tragic! And poor Suzie!,,C'est tellement tragique ! Et pauvre Suzie !,È così tragico! E povera Suzie!,Das ist so tragisch! Und die arme Suzie!,¡Es tan trágico! ¡Y la pobre Suzie!,Какой ужас! Бедная Сьюзи!,É tão trágico! E a pobre Suzie!,太悲慘了！可憐的 Suzie！,Cok trajik! Zavalli Suzie!,悲惨すぎるよ！ Suzieもかわいそう！,너무 비극적이야! 불쌍한 Suzie!,Cok trajik! Zavalli Suzie!,
,So that's the neighbors husband...and the network...It's all so confusing!,,"Donc, c'est le mari de la voisine... et le réseau... Ça m'embrouille !",Quindi quello è il marito della vicina... poi c'è la rete televisiva... Che confusione!,Das ist also der Ehemann der Nachbarin ... und das Netzwerk ... Es ist alles so verwirrend!,Así que ese es el marido de la vecina... y la cadena... ¡Qué confuso es todo!,"Значит, это муж соседки... И канал... Я ничего не понимаю!",Então esse é o marido da vizinha... e a emissora... Que confusão!,所以說，他就是鄰居家的老公…還有那個頻道…這一切也太混亂了吧！,Demek komsunun kocasi o... ve o ag... Kafam cok karisti!,あれが隣の奥さんの旦那さんで…それがネットワークとつながってて…もう、何が何だかわからないよ！,저 사람이 이웃집 남편이구나...복잡해...너무 혼란스러워!,Demek komsunun kocasi o... ve o ag... Kafam cok karisti!,
,"So, Suzie was the neighbors kid? I feel so bad...",,Suzie était alors la fille des voisins ? Je ne me sens pas bien...,Quindi Suzie era la figlia dei vicini? Mi dispiace per loro...,Suzie war also das Nachbarskind? Ich fühle mich so schlecht ...,"Entonces, ¿Suzie era la hija de los vecinos? Qué pena...","Значит, Сьюзи была дочерью соседей? Мне так жаль...",Então a Suzie era filha dos vizinhos? Me sinto tão mal...,所以，蘇西是鄰居家的小孩？真是難過…,Demek Suzie komsunun cocuguydu? Cok uzuldum...,つまり、スージーは隣の家の子だったの？かわいそうに…,그러니까 수지가 옆집 딸인 거지? 너무 안타깝다...,Demek Suzie komsunun cocuguydu? Cok uzuldum...,
,I guess we should have known better by now. Rugs are tantatmount to certain death.,,"On aurait dû s'en douter, en fait. Les tapis représentent une mort certaine.",Avremmo dovuto prevederlo. I tappeti equivalgono a morte certa.,Wir hätten es wohl schon längst besser wissen müssen. Teppiche bedeuten den sicheren Tod.,Supongo que era de esperar. Las alfombras no traen nada bueno.,"Кажется, нам уже давно пора понять. Ковры предвещают верную смерть.",Acho que essa já dava para adivinhar. Tapetes são praticamente um convite à morte.,我們早該明白的。踏上地毯根本就是自尋死路。,Artik ogrenmis olmamiz lazimdi. Halilar kesin olum demek.,そろそろ気づいたでしょ？この家のじゅうたんを踏むと必ず死ぬんだ。,지금 쯤엔 깨달았어야 하는 거 같은데. 카펫을 밟으면 확실히 죽는군.,Artik ogrenmis olmamiz lazimdi. Halilar kesin olum demek.,
,"I know we can get through this, Tabby.",,"Je sais qu'on peut y arriver, Tabby.","So che possiamo cavarcela, Tabby.","Ich weiß, dass wir das durchstehen können, Tabby.","Sé que podemos con esto, Tabby.","Я знаю, что мы все преодолеем, Табби.","Eu sei que podemos superar isso, Tabby.",我知道我們一定能渡過難關的，塔比。,"Bunu atlatabilecegimizi biliyorum, Tabby.",大丈夫、ぼくたちならきっと乗り越えられるよ。,"우린 해낼 수 있어, 태비.","Bunu atlatabilecegimizi biliyorum, Tabby.",
,"With you by my side, we can handle anything.",,"Avec toi à mes côtés, on peut tout affronter.","Con te al mio fianco, possiamo superare ogni cosa!",Mit dir an meiner Seite können wir alles schaffen.,"Si estás a mi lado, podemos con cualquier cosa.",Вместе мы справимся с чем угодно.,"Com você ao meu lado, podemos lidar com qualquer coisa.",只要有妳在我身邊，我們就能克服一切。,Sen yanimdayken her seyin ustesinden geliriz.,二人一緒なら、何でもできるさ。,"너와 함께라면, 뭐든지 할 수 있어.",Sen yanimdayken her seyin ustesinden geliriz.,
,"Hey, Tabby. What's in store for us today?",,"Salut, Tabby. Que nous réserve la journée ?","Ehi, Tabby, chissà oggi in cosa ci imbatteremo.","Hey, Tabby. Was steht heute auf dem Programm?","Eh, Tabby. ¿Qué nos depara hoy el día?","Эй, Табби. Какие приключения ждут нас сегодня?","Ei, Tabby. Quais os planos para hoje?",嘿，塔比。今天有什麼打算呢？,"Hey, Tabby. Bugun bizi ne bekliyor?",やあ、タビー。今日は何する？,"이봐, 태비. 오늘은 가게에 뭐가 있을까?","Hey, Tabby. Bugun bizi ne bekliyor?",
,On and ever onward!,,"Allez, en avant !","Sempre avanti, senza sosta!",Weiter und immer weiter!,¡Siempre adelante!,Только вперед!,Sempre em frente!,走吧！勇往直前！,"Durmadan, hep ileri!",じゃあ、どんどん進もう！,앞으로 전진!,"Durmadan, hep ileri!",
,"Alright, let's go!",,"Super, allons-y !","Bene, andiamo!","Also gut, los geht’s!","¡Está bien, vamos!","Ура, поехали!","Muito bem, vamos lá!",好的，我們走吧！,"Pekâlâ, gidelim!",よし、行こう！,"좋아, 가자!","Pekâlâ, gidelim!",
,"Oh, okay. You know where to find me if you change your mind.",,Je vois. Tu sais où me trouver si tu changes d'avis.,"Oh, ok. Sai dove trovarmi se cambi idea.","Oh, okay. Du weißt, wo du mich findest, wenn du deine Meinung änderst.","Ah, vale. Pues ya sabes dónde estoy si cambias de idea.","Что ж, ладно. Ты знаешь, где меня искать, если передумаешь.","Ah, tudo bem. Você sabe onde me encontrar se mudar de ideia.",哦，好吧。如果妳改變心意，妳知道該去哪找我的。,Peki. Fikrini degistirirsen nerede bulacagini biliyorsun.,そう、わかったよ。気が変わったら、いつでも来てね。,"어, 그래. 생각이 바뀌면 날 찾아와.",Peki. Fikrini degistirirsen nerede bulacagini biliyorsun.,
,Type,,Type,Tipo,Typ,Tipo,Тип,Tipo,類型,Tur,タイプ,유형,Tur,
,Sit,,S'asseoir,Siediti,Hinsetzen,Sentarse,Сесть,Sentar,坐下,Otur,座る,앉기,Otur,
,Zzz...,,Zzz...,Zzz...,Zzz ...,Zzzz...,Хр-р...,Zzz...,Zzz...,Zzz...,すぅ……すぅ……,Zzzz...,Zzz...,
,"Oh, Tabby. You hold a gun the exact way Charles did back when he shot those rabid wolves.",,"Oh, Tabby. Tu tiens le pistolet exactement comme Charles quand il a tué les loups enragés.","Oh, Tabby. Impugni la pistola proprio come Charles quando sparò a quei lupi rabbiosi.","Oh, Tabby. Du hältst die Waffe genau so wie Charles, als er diese tollwütigen Wölfe erschossen hat.","Vaya, Tabby. Sujetas la pistola igual que Charles cuando disparó a esos lobos rabiosos.","Ах, Табби. Ты держишь пистолет точно так же, как Чарльз в тот день, когда он застрелил бешеных волков.","Ah, Tabby. Você está segurando a segura arma igual ao Charles quando ele atirou naqueles lobos raivosos.",喔，Tabby。妳拿槍的樣子跟 Charles 當年射殺那些狂犬病狼時一模一樣。,"Ah, Tabby. Silahi tam da Charles'in o kuduz kurtlari vurdugu gibi tutuyorsun.",まあ、タビー。その銃の構え方、チャールズが凶暴な狼を撃った時とそっくりだわ。,"오, 태비. 찰스가 광견병에 걸린 늑대들을 쏴버렸을 때랑 똑같이 총을 들고 있구나.","Ah, Tabby. Silahi tam da Charles'in o kuduz kurtlari vurdugu gibi tutuyorsun.",
,"Dear, not right now. Go put my salami knife back in its drawer.",,"Pas maintenant, ma petite. Va remettre ce couteau dans le tiroir de la cuisine.","Piccola, non adesso. Rimetti nel cassetto il mio coltello per gli affettati.","Schatz, nicht jetzt. Geh und leg mein Salamimesser zurück in die Schublade.","Cielo, ahora no. Vuelve a dejar ese cuchillo para el salami en el cajón.","Дорогая, не балуйся. Положи нож для салями обратно в шкафчик.","Agora não, querida. Vá guardar minha faca de salame na gaveta.",親愛的，現在不行。去把我的臘腸刀放回抽屜。,Simdi degil canim. Hadi salam bicagimi cekmecesine geri koy.,今はやめて。私のサラミ用のナイフを引き出しにしまってちょうだい。,"아가, 나중에. 햄 써는 칼은 서랍에 넣어두렴.",Simdi degil canim. Hadi salam bicagimi cekmecesine geri koy.,
,That must be the kid's next door. The one that moved into your old house.,,Ça doit appartenir au gamin d'à côté. Celui qui vit dans ton ancienne maison.,Dev'essere del ragazzino che abita accanto. Quello che si è trasferito nella tua vecchia casa.,"Das muss das Kind von nebenan sein. Das, das in dein altes Haus gezogen ist.",Ese debe de ser el niño que vivía al lado. El que se mudó a la casa vieja.,"Должно быть, он принадлежит соседскому ребенку. Который переехал в твой старый дом.",Essa deve ser a criança da casa ao lado. Aquela que se mudou para a sua antiga casa.,那一定是隔壁家的孩子，就是搬進妳以前房子的那個。,Su yan komsunun cocugu olmali. Eski evine tasinan cocuk.,犯人はたぶん隣の子ね。あなたの昔の家に引っ越してきた子よ。,옆집 아이일 거야. 네가 살던 집으로 이사온 아이 말이야.,Su yan komsunun cocugu olmali. Eski evine tasinan cocuk.,
,"Can you wipe my tears for me, sweetheart?",,"Tu peux essuyer mes larmes, ma puce ?","Potresti asciugare le mie lacrime, tesoro?","Kannst du meine Tränen für mich abwischen, mein Schatz?","¿Puedes secarme las lágrimas, cariño?","Можешь вытереть мне слезы, солнышко?","Você pode enxugar minhas lágrimas, benzinho?",甜心，可以幫我擦擦眼淚嗎？,"Gozyaslarimi siler misin, tatlim?",私の涙をぬぐってくれない？,"눈물 좀 닦아주겠니, 아가?","Gozyaslarimi siler misin, tatlim?",
,It's so hard moving that thing from house to house.,,C'est tellement difficile de transporter ce truc de maison en maison.,È così difficile spostare quella cosa da una casa all'altra.,"Es ist so anstrengend, dieses Ding von Haus zu Haus zu schleppen.",Es muy difícil llevar esa cosa de una casa a otra.,Так тяжело таскать эту штуку из дома в дом.,É tão difícil levar essa coisa de uma casa pra outra.,要把那東西從一棟房子搬到另一棟真的很累。,O seyi evden eve tasimak cok zor.,あれを家から家へ運ぶの、本当に大変なのよ。,그걸 집에서 집으로 옮기는 게 정말 힘들어.,O seyi evden eve tasimak cok zor.,
,"So you find him, huh? Oopsie.",,"Alors tu l'as trouvé, hein ? Oups.","Quindi l'hai trovato, eh? Ops.","Du hast ihn also gefunden, hm? Upsi.","Así que lo encontraste, ¿eh? Ups.","Так ты его нашла, да? Упс.","Então você encontrou ele, é? Ops.",所以妳找到他了，是吧？哎呀。,Demek onu buldun ha? Oops.,見つけちゃったんだ？ あらら。,그래서 그 사람을 찾았구나? 이런.,Demek onu buldun ha? Oops.,
,"This is no time for pie, sweetheart.",,"On ne mange pas de tarte à cette heure-ci, ma puce.","Non è il momento per una torta, cara.","Jetzt ist nicht die Zeit für Kuchen, mein Schatz.","No es momento para pasteles, cariño.","Сейчас не время есть пирог, солнышко.","Não é hora para torta, benzinho.",親愛的，現在可不是吃派的時候。,"Simdi turta zamani degil, tatlim.",今はパイの時間じゃないわよ。,"파이 먹을 때가 아니란다, 아가.","Simdi turta zamani degil, tatlim.",
,Charles could eat a whole pizza after he'd get home from the factory.,,Charles pouvait manger une pizza entière quand il rentrait de l'usine.,Charles riusciva a mangiare la pizza in un sol boccone dopo una giornata in fabbrica.,"Charles konnte eine ganze Pizza essen, wenn er von der Fabrik nach Hause kam.",Charles era capaz de comerse una pizza entera cuando volvía a casa de la fábrica.,"Чарльз мог съесть целую пиццу, когда возвращался домой с фабрики.",O Charles comia uma pizza inteira quando chegava em casa da fábrica.,查爾斯每次從工廠下班回來後，都能吃掉一整個披薩。,Charles fabrikadan eve gelince tek basina koskoca bir pizzayi yiyebilirdi.,チャールズは、工場から帰ってくるとピザを丸ごと食べたのよ。,찰스는 공장에서 퇴근하면 피자 한 판을 다 먹곤 했지.,Charles fabrikadan eve gelince tek basina koskoca bir pizzayi yiyebilirdi.,
,"This is no time for bananas, sweetheart.",,"Ce n'est pas l'heure de manger une banane, ma puce.","Non è il momento per le banane, tesoro.","Jetzt ist nicht die Zeit für Bananen, mein Schatz.","No es momento para plátanos, cariño.","Сейчас не время есть бананы, солнышко.","Não é hora de comer banana, benzinho.",親愛的，現在可不是吃香蕉的時候。,"Simdi muz zamani degil, tatlim.",今はバナナを食べる時間じゃないわよ。,"바나나 먹을 시간은 아니란다, 아가.","Simdi muz zamani degil, tatlim.",
,"Oh, I remember meeting Charles for the first time...It was raining and I was waiting for the train...",,"Oh, je me souviens du jour où j'ai rencontré Charles... Il pleuvait et j'attendais le train...","Oh, ricordo quando incontrai Charles per la prima volta... Stava piovendo e io aspettavo il treno...","Oh, ich weiß noch, wie ich Charles zum ersten Mal getroffen habe ... Es hat geregnet und ich hab auf den Zug gewartet ...","Ah, me acuerdo de cuando conocí a Charles... Estaba lloviendo y yo esperaba el tren...","Ах, я помню первую встречу с Чарльзом... Шел дождь, и я ждала поезда...","Ah, eu me lembro de quando conheci Charles... Estava chovendo e eu estava esperando o trem...",哦，我還記得第一次見到查爾斯的時候…當時正在下雨，而我正在等火車…,"Charles'la ilk tanistigimi hatirliyorum da... Yagmur yagiyordu, tren bekliyordum...",チャールズと初めて会ったときを思い出すわ…雨が降っていて、私は電車を待っていたの…,찰스를 처음 만났을 때가 생각나네...비 오는 날에 기차를 기다리고 있었어...,"Charles'la ilk tanistigimi hatirliyorum da... Yagmur yagiyordu, tren bekliyordum...",
,"Once, I took away Suzie's pacifier. Why did I do that?",,"Un jour, j'ai confisqué sa tétine à Suzie. Qu'est-ce qui m'a poussé à le faire ?",Una volta tolsi il ciucciotto a Suzie. Perché l'ho fatto?,Einmal habe ich Suzies Schnuller weggenommen. Warum habe ich das getan?,"Un día, le quité el chupete a Suzie. ¿Por qué lo haría?",Как-то раз я отобрала у Сьюзи соску. Зачем я это сделала?,"Uma vez, tirei a chupeta da Suzie. Por que eu fui fazer aquilo?",我曾把蘇西的奶嘴拿走。我為什麼要這麼做？,Bir keresinde Suzie'nin emzigini almistim. Neden yaptim ki bunu?,スージーのおしゃぶりを取り上げたことがあるの。どうしてあんなこと、しちゃったのかしら？,한 번은 수지의 공갈꼭지를 숨긴 적이 있단다. 왜 그랬을까?,Bir keresinde Suzie'nin emzigini almistim. Neden yaptim ki bunu?,
,"You never really let go of the past, do you? No matter how long time passes.",,"On ne tourne jamais vraiment la page, hein ? Peu importe le temps écoulé.","Non superi mai le cose passate, eh? Non importa quanto tempo sia trascorso...","Man lässt die Vergangenheit nie wirklich los, oder? Egal, wie viel Zeit vergeht.","Nunca te olvidas del pasado, ¿verdad? Da igual el tiempo que pase.","Прошлое никогда не отпускает, правда? Сколько бы времени ни минуло.","Não dá para se desapegar completamente do passado, não é? Não importa quanto tempo passe.",妳始終還是放不下過去，對吧？無論過了多久…,"Gecmisi asla tam birakamiyorsun, degil mi? Ne kadar zaman gecerse gecsin.",どんなに時が流れても、人は過去を手放せないものなのね。,정말 과거를 떨쳐버리지 못하는 구나? 시간이 얼마나 흘러도 말이지.,"Gecmisi asla tam birakamiyorsun, degil mi? Ne kadar zaman gecerse gecsin.",
,My hands are so dirty. Got to wash them. Got to be clean for Charles.,,J'ai les mains sales. Il faut que j'aille me les laver. Qu'elles soient propres pour Charles.,Ho le mani così sporche. Devo lavarle. Devono essere pulite per Charles.,Meine Hände sind so schmutzig. Ich muss sie waschen. Ich muss für Charles sauber sein.,Qué sucias tengo las manos. Voy a lavármelas. Tengo que estar decente para Charles.,У меня такие грязные руки. Нужно их помыть. Нужно быть чистой ради Чарльза.,Minhas mãos estão muito sujas. Preciso lavá-las. Charles não pode me ver assim.,我的手好髒，得去洗乾淨。為了查爾斯，必須洗乾淨。我一定要保持乾淨。,Ellerim cok kirli. Yikamam lazim. Charles icin temiz olmaliyim.,手がこんなに汚れてる。洗わなきゃ。チャールズのために、きれいにしておかないと。,손이 너무 더럽네. 가서 씻어야겠다. 찰스를 위해 깨끗하게 유지해야지.,Ellerim cok kirli. Yikamam lazim. Charles icin temiz olmaliyim.,
,Charles would buy me flowers for my birthday. Peonies.,,Charles m'achetait des fleurs pour mon anniversaire. Des pivoines.,Charles mi comprava sempre dei fiori al mio compleanno. Peonie.,Charles hat mir an meinem Geburtstag Blumen gekauft. Pfingstrosen.,Charles me compraba flores por mi cumpleaños. Peonías.,Чарльз дарил мне цветы на день рождения. Пионы.,Charles sempre me dava flores de presente de aniversário. Peônias.,Charles 以前會在我生日買花給我。牡丹。,Charles dogum gunumde bana cicek alirdi. Sakayik.,チャールズは私の誕生日に花を買ってくれたの…ピオニーの花束だったわ。,찰스는 내 생일에 꽃을 사주곤 했단다. 모란꽃이었지.,Charles dogum gunumde bana cicek alirdi. Sakayik.,
,One day we will all be together again.,,"Un jour, on sera tous réunis de nouveau.",Un giorno saremo di nuovo tutti quanti insieme.,Eines Tages werden wir alle wieder zusammen sein.,Algún día volveremos a estar todos juntos.,Когда-нибудь мы все снова будем вместе.,Um dia estaremos todos reunidos novamente.,總有一天，我們會再次相聚的。,Bir gun hepimiz yeniden bir arada olacagiz.,いつの日かきっと、またみんな一緒になれるわ…,언젠가는 우리 모두 다시 함께 살 거야.,Bir gun hepimiz yeniden bir arada olacagiz.,
,Pot Roast Thursdays...everyone gathered for dinner. Such nice times.,,Le rôti du jeudi... on mangeait tous ensemble. C'était la belle époque.,Il giovedì era il giorno dell'arrosto... Seduti tutti vicini a tavola. Che bei tempi.,Donnerstags gab’s Schmorbraten ... alle kamen zum Abendessen zusammen. Das waren schöne Zeiten.,Los jueves hacía estofado... Y cenábamos todos juntos. Qué tiempos aquellos.,По четвергам мы ели тушеное мясо... Все собирались на ужин. Славные были времена.,Sempre carne assada às quintas... todos reunidos para o jantar. Bons tempos.,每週四的燉牛肉之夜…大家都會聚在一起吃晚餐。真是段美好的時光啊。,Persembe rosto gunleri... Herkes aksam yemegine toplanirdi. Ne guzel zamanlardi.,木曜日はいつもポットローストだったの。夕飯の食卓には家族が集まって、ほんとに幸せな時間だったわ。,목요일엔 고기찜이야... 모두가 모여 저녁을 먹지. 정말 좋았어.,Persembe rosto gunleri... Herkes aksam yemegine toplanirdi. Ne guzel zamanlardi.,
,"Do what you have to, sweetheart.",,"Fais ce que tu as à faire, ma puce.","Fai ciò che devi, tesoro.","Tu, was du tun musst, mein Schatz.","Haz lo que tengas que hacer, cariño.","Делай что хочешь, солнышко.","Faça o que você tem que fazer, benzinho.",去做妳必須做的事吧，親愛的。,"Ne yapman gerekiyorsa yap, tatlim.",なすべきことをなさい。,"해야 할 일을 하렴, 아가.","Ne yapman gerekiyorsa yap, tatlim.",
,Maybe I deserve to die...after everything I've done.,,Je mérite peut-être de mourir... après tout ce que j'ai fait.,Forse merito di morire... dopo tutto quello che ho fatto.,"Vielleicht verdiene ich es zu sterben ... nach allem, was ich getan habe.",Quizá merezca morir... Después de todo lo que he hecho.,"Возможно, я заслуживаю смерти. После всего, что наделала.",Talvez eu mereça morrer... depois de tudo que fiz.,也許…我真的該死…畢竟我做了那麼多糟糕事。,Belki de olmeyi hak ediyorum... Yaptiklarim onca seyden sonra.,これまでのことを思えば…死んでも仕方ないわね。,내가 저지른 일을 생각하면... 난 죽어 마땅한지도 몰라.,Belki de olmeyi hak ediyorum... Yaptiklarim onca seyden sonra.,
,"Time and place, Tabby.",,"Ce n'est ni le moment ni l'endroit, Tabby.","Non è un buon momento, Tabby.","Nicht die Zeit oder der Ort, Tabby.","No es el momento ni el lugar, Tabby.","Всему свое время и место, Табби.","Hora e lugar certos, Tabby.",注意一下場合，塔比。,"Yeri ve zamani degil, Tabby.",空気を読みなさい。,"때와 장소를 가려야지, 태비.","Yeri ve zamani degil, Tabby.",
,"Could you use that to wipe up my tears, please?",,"Peux-tu l'utiliser pour essuyer mes larmes, s'il te plaît ?",Potresti usare quella cosa per asciugarmi le lacrime?,"Könntest du das bitte benutzen, um meine Tränen abzuwischen?",¿Puedes secarme las lágrimas con eso?,Можешь утереть этой губкой мои слезы?,"Poderia usar isso para enxugar minhas lágrimas, por favor?",可以用那個幫我擦擦眼淚嗎？,"Onunla gozyaslarimi siler misin, lutfen?",それで私の涙をぬぐってくれない？,그걸로 눈물 좀 닦아주겠니?,"Onunla gozyaslarimi siler misin, lutfen?",
,Just put me out of my misery.,,Abrège donc mes souffrances.,Poni fine alle mie sofferenze.,Erlöse mich einfach von meinem Elend.,Acaba con mi sufrimiento.,Избавь меня уже от страданий.,Acabe logo com o meu sofrimento.,讓我解脫吧。,Acimi dindir artik.,もう…楽にしてちょうだい。,내 슬픔을 끝내주렴.,Acimi dindir artik.,
